"","ID","time","Guar Gum (g/L)","Glucose (mol/L)","Ethanol (mol/L)","Propanoic Acid (mol/L)","Acetate (mol/L)","CH4 (mol-gas)"
"1",1,0,8.673168,0,0,0,0,0
"2",1,0.25,8.53266860667505,0.000708729679342873,4.88294671563771e-08,1.48126561188483e-11,1.78024576325208e-05,248.173078177842
"3",1,0.5,8.39446672769987,0.00134978769639265,8.67714104356861e-08,2.63312892169903e-11,3.51107637702879e-05,1096.8691042818
"4",1,1,8.12480581976051,0.00247086629396619,1.44229513665303e-07,4.38150090805109e-11,6.24485237955332e-05,4458.77196671123
"5",1,2,7.61144140533236,0.00421274636146379,2.25570034182174e-07,6.86486522842301e-11,0.000100761962535976,17079.7818644509
"6",1,3,7.13084067157091,0.00541182650629935,2.89610554699981e-07,8.82685152920271e-11,0.000129503448979171,36738.3203865516
"7",1,4,6.68091211797393,0.00613442085959521,3.46526526134981e-07,1.05755646563075e-10,0.000154499262237641,62894.0864974142
"8",1,5,6.25969772692392,0.00641886761468547,3.98051655605139e-07,1.21626871891724e-10,0.000177132620426364,95164.7506986398
"9",1,6,5.8653644428539,0.00630434390464584,4.42162918866129e-07,1.35244715975693e-10,0.000196746678159689,133103.029462097
"10",1,7,5.49619619525752,0.00584684039061198,4.74385301476088e-07,1.45209515239727e-10,0.000211475160835897,176028.193249796
"11",1,8,5.15058643083199,0.0051299722418817,4.88881908193041e-07,1.4969631474525e-10,0.000218803644071077,222881.178996407
"12",1,9,4.82703112225801,0.00426787410130629,4.80645857179016e-07,1.4714366398455e-10,0.000216546901514987,272151.26516163
"13",1,10,4.52412222319547,0.00339249268437871,4.49112313074451e-07,1.3738571973305e-10,0.000204422287836579,321978.467362782
"14",1,11,4.2405415410161,0.00262140412309982,4.01039166195614e-07,1.22539467771503e-10,0.000185287155766625,370508.732952552
"15",1,12,3.97505500061259,0.00202079933487437,3.48450485076654e-07,1.06338386201279e-10,0.000164240042031787,416380.360563173
